"LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2"
"Rps10" 10 2 6 7 3 16 10 3 24 18 12 9 16 5 11 9 6 14 12 15 65 22 6 15 6 7 15 8 19 9 14 10 3 9 6 2 11 7 10 7 13 8 28 10 20 12 2 7 9
"Rps28" 22 7 17 20 10 9 27 8 21 16 19 5 21 9 22 12 15 32 7 17 97 43 13 13 8 17 25 11 35 18 22 16 13 12 19 16 18 5 11 14 21 16 38 29 28 10 2 23 12
"Rps18" 25 14 16 31 14 21 29 16 36 26 31 14 41 6 52 20 30 36 16 40 139 62 13 33 11 23 35 26 44 29 30 15 15 19 27 13 19 16 31 19 36 23 77 33 40 13 14 28 17
"Rps14" 28 12 13 35 18 24 23 21 39 26 31 22 45 17 35 22 24 32 17 23 127 69 24 31 14 27 28 27 55 26 20 22 19 16 23 13 17 15 25 21 30 10 51 28 28 35 13 18 25
"Rps6kb2" 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Rps6ka4" 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Rps12-ps3" 3 1 3 5 3 2 5 2 15 5 9 1 17 3 4 2 0 10 6 3 44 20 3 3 5 2 1 0 15 7 3 2 3 7 4 1 2 3 5 1 9 1 10 7 10 1 0 3 9
"mt-Nd1" 3 6 19 9 3 10 14 7 23 4 14 3 19 4 10 1 5 8 8 10 72 28 6 9 3 11 8 9 20 14 11 4 7 7 5 12 10 6 9 8 6 17 21 8 24 2 1 12 10
"mt-Nd2" 1 1 12 4 2 4 4 1 14 3 3 1 7 3 1 1 1 2 3 4 27 5 0 2 3 3 3 6 11 6 2 1 2 5 2 3 4 0 4 3 4 4 10 0 11 2 2 6 4
"mt-Co1" 6 24 29 16 10 28 54 22 74 20 12 20 43 16 17 46 3 21 17 22 93 18 28 33 16 25 15 30 22 27 36 35 18 11 9 13 19 8 27 30 30 26 66 34 20 10 5 25 34
"mt-Co2" 7 5 16 9 4 13 26 6 44 10 8 2 30 4 5 8 1 11 5 10 47 20 7 15 5 14 8 24 16 24 14 20 8 11 6 10 9 1 19 12 28 20 27 16 23 7 3 20 14
"mt-Atp8" 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"mt-Atp6" 23 22 35 17 5 42 38 19 95 26 25 25 61 13 20 18 10 31 23 26 123 48 19 28 13 30 29 38 41 31 36 33 22 21 21 29 18 14 50 31 53 51 70 34 57 21 3 25 43
"mt-Co3" 17 16 34 17 7 28 51 12 72 28 13 16 37 15 15 15 3 20 18 24 131 40 9 28 17 21 19 36 47 32 37 32 17 19 11 17 23 9 36 23 46 33 61 31 34 11 7 27 22
"mt-Nd3" 0 0 2 4 0 1 9 0 4 2 0 0 3 0 2 0 0 2 0 2 10 3 1 3 0 3 1 0 3 1 4 1 1 2 0 1 2 0 2 0 2 0 4 3 5 1 0 1 1
"mt-Nd4l" 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0
"mt-Nd4" 2 4 9 4 4 8 11 4 22 6 6 2 11 2 10 3 2 9 3 5 37 12 5 8 2 8 7 10 10 11 7 7 6 5 4 2 4 4 11 6 12 10 14 7 21 5 0 10 13
"mt-Nd5" 2 1 1 3 0 0 1 0 2 0 1 0 0 2 0 0 0 2 1 0 4 2 0 3 1 2 2 0 1 2 1 1 1 1 3 0 0 1 2 0 0 1 2 0 0 0 0 0 0
"mt-Nd6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
